"New York, NY",40.66,-73.94
"Los Angeles, CA",34.02,-118.41
"Chicago, IL",41.84,-87.68
"Houston, TX",29.79,-95.39
"Phoenix, AZ",33.57,-112.09
"Philadelphia, PA",40.01,-75.13
"San Antonio, TX", 29.46, -98.52
"San Diego, CA", 32.81, -117.14
"Dallas, TX", 32.79, -96.77
"Jacksonville, FL", 30.34, -81.66
"Fort Worth, TX", 32.78, -97.35
"San Jose, CA", 37.30, -121.81
"Austin, TX", 30.30, -97.75
"Charlotte, NC", 35.21, -80.83
"Columbus, OH", 39.99, -82.99
"Indianapolis, IN", 39.78, -86.15
"San Francisco, CA", 37.73, -123.03
"Seattle, WA", 47.62, -122.35
"Denver, CO", 39.76, -104.88
"Oklahoma City, OK", 35.47, -97.51
"Nashville, TN", 36.17, -86.79
"Washington, DC", 38.90, -77.02
"El Paso, TX", 31.85, -106.43
"Las Vegas, NV", 36.23, -115.26
"Boston, MA", 42.34, -71.02
"Detroit, MI", 42.38, -83.10
"Louisville, KY", 38.17, -85.65
"Portland, OR",45.54, -122.65
"Memphis, TN", 35.11, -89.97
"Baltimore ,MD", 39.30, -76.61
"Milwaukee, WI", 43.06, -87.97
"Albuquerque, NM" 35.10, -106.65
"Tucson, AZ", 32.15, -110.87
"Fresno, CA", 36.78, -119.79
"Sacramento, CA", 38.57, -121.47
"Atlanta, GA", 33.76, -84.42
"Mesa, AZ", 33.40, -111.72
"Kansas City, MO", 39.12, -94.56
"Raleigh, NC" 35.83, -78.64
"Colorado Springs, CO", 38.87, -104.76
"Omaha, NE", 41.26, -96.05
"Miami, FL", 25.78, -80.21
"Virginia Beach[l], VA", 36.78, -76.03
"Long Beach, CA", 33.78, -118.17
"Oakland, CA", 37.77, -122.23
"Minneapolis, MN", 44.96, -93.27
"Bakersfield, CA", 35.35, -119.04
"Tulsa, OK", 36.13, -95.90
"Tampa, FL", 27.97, -82.47
"Arlington, TX", 32.70,-97.12